Wavelength,AREF_Mean,AREF_1,AREF_2,AREF_3,AREF_4,AREF_5,AREF_6,AREF_7,AREF_8,AREF_9,AREF_10,AREF_11,AREF_12,AREF_13,AREF_14,AREF_15,AREF_16,AREF_17,AREF_18,AREF_19,AREF_20,RREF_Mean,RREF_1,RREF_2,RREF_3,RREF_4,RREF_5,RREF_6,RREF_7,RREF_8,RREF_9,RREF_10,RREF_11,RREF_12,RREF_13
0.86799997,0.6634460364999999,0.651232,0.71397078,0.50241441,0.82452053,0.77691483,0.84713244,0.69863611,0.63118315,0.59467566,0.60566211,0.73948562,0.64853692,0.76196337,0.7828846,0.60953015,0.52436209,0.59611601,0.51136166,0.59192193,0.65641636,,,,,,,,,,,,,,
0.86900002,0.663316911,0.65114611,0.71404707,0.50236952,0.82443017,0.77652878,0.84704483,0.69838941,0.63109136,0.59465307,0.60564601,0.73949927,0.64838588,0.76161873,0.78292179,0.6094436,0.52409583,0.59588456,0.51099569,0.59210086,0.65604568,,,,,,,,,,,,,,
0.87,0.663192671,0.65107083,0.71412617,0.50231069,0.82435781,0.77619439,0.84696716,0.6981957,0.63100296,0.59464985,0.60564786,0.73945272,0.64826024,0.76131827,0.78293675,0.60936117,0.52380729,0.59558433,0.51063067,0.59222984,0.65574872,,,,,,,,,,,,,,
0.87099999,0.6630740384999998,0.65100449,0.71420467,0.50223351,0.82429612,0.77592689,0.84689844,0.69806457,0.63092571,0.59466738,0.60566068,0.73932564,0.64816046,0.76107246,0.78292394,0.60928738,0.52352595,0.59520096,0.51026505,0.5922907,0.65554577,,,,,,,,,,,,,,
0.87199998,0.6629593670000001,0.65094602,0.71427989,0.50213528,0.82422417,0.77573681,0.8468163,0.69800252,0.63086128,0.59470701,0.605654,0.73910517,0.64808613,0.76088852,0.78287989,0.609218,0.52329397,0.59472603,0.50990456,0.59227109,0.6554507,,,,,,,,,,,,,,
0.87300003,0.6628612229999999,0.650895,0.71434963,0.50201833,0.82416147,0.77561849,0.84674746,0.69800407,0.63081002,0.59476739,0.60566217,0.73880476,0.64803231,0.76076186,0.78280848,0.60920513,0.52311516,0.59417266,0.50965208,0.59218198,0.65545601,,,,,,,,,,,,,,
0.87400001,0.6627716905000001,0.65085173,0.71441221,0.50188667,0.824108,0.77556235,0.84669524,0.69806123,0.63076764,0.5948472,0.60567981,0.73844373,0.64799339,0.76068586,0.78271544,0.60917354,0.52291584,0.59355891,0.5094862,0.59203941,0.65554941,,,,,,,,,,,,,,
0.875,0.6626851235,0.65081596,0.71446568,0.50174421,0.82405829,0.77555895,0.8466509,0.69816589,0.63073248,0.59494472,0.60569507,0.73804164,0.64796352,0.76065356,0.78260624,0.60909665,0.52268368,0.59290284,0.50934416,0.59185952,0.65571851,,,,,,,,,,,,,,
0.87599999,0.6626119420000002,0.65078801,0.71450835,0.50159466,0.82400548,0.77559876,0.84658378,0.69830996,0.63070887,0.59505856,0.60570633,0.73761803,0.64793712,0.76065791,0.78248638,0.60904992,0.52251929,0.59222251,0.50927573,0.59165817,0.65595102,,,,,,,,,,,,,,
0.87699997,0.6625475945000001,0.6507678,0.71453851,0.50144219,0.82396466,0.7756725,0.84653187,0.69848543,0.63070464,0.59518731,0.60571569,0.73719233,0.64790851,0.76069218,0.78236198,0.60902518,0.5223524,0.59153605,0.50918639,0.59145159,0.65623468,,,,,,,,,,,,,,
0.87800002,0.6624915924999998,0.65075529,0.71455413,0.50129044,0.82393473,0.77577043,0.84649825,0.69868416,0.63071042,0.59532928,0.60573274,0.73678392,0.64787179,0.76074934,0.78223819,0.60900158,0.52216822,0.5908615,0.5090847,0.59125572,0.65655702,,,,,,,,,,,,,,
0.87900001,0.6624491484999998,0.65075076,0.71455365,0.50114328,0.82390809,0.77588332,0.84647334,0.69889826,0.63071924,0.59548306,0.60576111,0.73641247,0.64782149,0.76082259,0.78212082,0.60897082,0.52201158,0.5902167,0.50903976,0.5910868,0.65690583,,,,,,,,,,,,,,
0.88,0.6624194715,0.65075409,0.71453506,0.5010047,0.82387424,0.77600145,0.84644079,0.69911945,0.63074988,0.59564716,0.6057775,0.73609728,0.64775169,0.76090503,0.7820155,0.60896689,0.52187562,0.58962005,0.50902355,0.59096074,0.65726876,,,,,,,,,,,,,,
0.88099998,0.6624019535,0.6507653,0.71449667,0.50087857,0.82385409,0.77611548,0.84642053,0.69933963,0.63079834,0.59581995,0.60579628,0.7358579,0.64765674,0.76098973,0.78192776,0.60896081,0.5217492,0.58908945,0.50899565,0.59089363,0.65763336,,,,,,,,,,,,,,
0.88200003,0.6623953245,0.65078443,0.71443671,0.50076878,0.82384157,0.77621597,0.84641176,0.69955099,0.63086462,0.59600002,0.60582554,0.73571378,0.64753097,0.76106966,0.78186321,0.60892671,0.52162403,0.58864295,0.50894582,0.59090149,0.65798748,,,,,,,,,,,,,,
0.88300002,0.6624030295,0.65081167,0.71435326,0.50067914,0.82381934,0.77629334,0.84640509,0.6997453,0.63094711,0.5961858,0.60586494,0.73568434,0.64736861,0.76113808,0.78182769,0.60890037,0.52152282,0.58829856,0.50889605,0.59100044,0.65831864,,,,,,,,,,,,,,
0.884,0.6624192590000001,0.6508469,0.71424627,0.5006122,0.82379293,0.7763415,0.84640008,0.69991612,0.63102835,0.59637523,0.60588956,0.73578089,0.64716691,0.76119053,0.78182423,0.60886288,0.52140862,0.58806789,0.50881797,0.59119976,0.65861636,,,,,,,,,,,,,,
0.88499999,0.6624447595,0.6508894,0.71412122,0.50056571,0.82378823,0.77636588,0.84639651,0.70006293,0.6311239,0.59656382,0.60592067,0.73598498,0.6469335,0.76123083,0.78184813,0.60881418,0.52127957,0.58793885,0.50870579,0.59148437,0.65887672,,,,,,,,,,,,,,
0.88599998,0.6624798895000001,0.65093845,0.71398503,0.50053644,0.82379836,0.77637458,0.84639609,0.70018631,0.63123298,0.59674662,0.60596269,0.73627144,0.64667809,0.76126474,0.78189242,0.60877031,0.52117038,0.5878939,0.50856841,0.59183371,0.65909684,,,,,,,,,,,,,,
0.88700002,0.6625225154999999,0.65099335,0.71384448,0.50052106,0.82380015,0.77637565,0.84640205,0.70028704,0.63134599,0.59691888,0.60600716,0.73661554,0.6464107,0.76129836,0.78195059,0.6087513,0.52108049,0.5879159,0.50842988,0.59222746,0.65927428,,,,,,,,,,,,,,
0.88800001,0.6625724785,0.65105349,0.71370667,0.50051624,0.82382166,0.77637738,0.84641391,0.70036566,0.63147604,0.59707558,0.6060527,0.73699194,0.64614135,0.76133746,0.78201568,0.60876429,0.52099115,0.58798742,0.50830948,0.59264511,0.65940636,,,,,,,,,,,,,,
0.889,0.6626265284999999,0.65111792,0.71357828,0.50051862,0.82384741,0.77638763,0.84643298,0.70042312,0.63162029,0.59721172,0.60610431,0.73737603,0.64587969,0.76138783,0.78208107,0.60880727,0.52090001,0.58809119,0.50820863,0.59306616,0.65949041,,,,,,,,,,,,,,
0.88999999,0.662673551,0.65118617,0.71346623,0.500525,0.82386905,0.77641469,0.84646499,0.70045996,0.63177568,0.5973224,0.60616148,0.73774236,0.64563578,0.76145524,0.78213996,0.60882026,0.52075797,0.58820987,0.50806993,0.59347016,0.65952384,,,,,,,,,,,,,,
0.89099997,0.6627197845,0.65125734,0.7133773,0.50053203,0.82389128,0.77646661,0.84651375,0.70047683,0.6319381,0.59740287,0.60622239,0.73806632,0.64541942,0.76154572,0.78218561,0.60884601,0.52064437,0.5883261,0.50794286,0.59383672,0.65950406,,,,,,,,,,,,,,
