Wavelength,AREF_Mean,AREF_1,AREF_2,AREF_3,AREF_4,AREF_5,AREF_6,AREF_7,AREF_8,AREF_9,AREF_10,AREF_11,AREF_12,RREF_Mean,RREF_1,RREF_2,RREF_3,RREF_4,RREF_5,RREF_6,RREF_7,RREF_8
1.952,0.2999384025,0.36919585,0.78847545,0.12664019,0.13061459,0.17157906,0.21683982,0.28128615,0.36880961,0.42150295,0.15256171,0.12651147,0.44524398,0.23402153625,0.12863645,0.14237219,0.16551831,0.21680671,0.27034006,0.3898859,0.4359538,0.12265887
1.9529999,0.29993764416666663,0.36928856,0.78845108,0.12649593,0.13069592,0.17143019,0.21705517,0.28117311,0.36888072,0.42122787,0.1525556,0.12638229,0.44561529,0.23410551,0.12867188,0.14239664,0.16560782,0.21688944,0.27048647,0.39000326,0.43608472,0.12270385
1.954,0.29995444666666665,0.36935374,0.7885716,0.12642434,0.13075621,0.17128435,0.21723612,0.28106767,0.36897677,0.42098683,0.1525223,0.12623703,0.4460364,0.23418814124999998,0.12870809,0.1424187,0.16569327,0.21697304,0.27063015,0.3901186,0.43621632,0.12274696
1.955,0.2999947608333334,0.36938936,0.78884882,0.12643254,0.13079214,0.17114861,0.21737906,0.2809791,0.36910254,0.42078599,0.152485,0.12608357,0.4465104,0.2342695675,0.12874514,0.14243892,0.1657746,0.21705787,0.2707707,0.39023226,0.43634871,0.12278834
1.956,0.3000622691666667,0.3693963,0.78928208,0.12652183,0.13080201,0.17102991,0.21748334,0.28091455,0.36926094,0.42063028,0.15246174,0.12592852,0.44703573,0.23434976874999996,0.12878275,0.1424579,0.16585211,0.21714401,0.27090767,0.39034456,0.43648082,0.12282833
1.957,0.30015623166666666,0.36937881,0.78985751,0.12668705,0.13078597,0.17093492,0.2175514,0.28087899,0.3694531,0.42052323,0.15244099,0.12577714,0.44760567,0.234428615,0.12882058,0.14247623,0.16592641,0.21723135,0.27104068,0.3904559,0.43661043,0.12286734
1.9579999,0.3002775041666667,0.36934406,0.7905488,0.12691718,0.13074583,0.17087023,0.21758856,0.28087538,0.36967835,0.42046732,0.15245235,0.12563348,0.44820851,0.2345058175,0.12885815,0.14249448,0.16599819,0.21731953,0.27116939,0.39056677,0.43673432,0.12290571
1.959,0.3004221483333333,0.36930144,0.79132104,0.12719703,0.13068461,0.17084226,0.21760225,0.28090516,0.36993486,0.4204641,0.15248314,0.1255006,0.44882929,0.23458110999999998,0.12889504,0.14251311,0.16606835,0.21740825,0.27129379,0.39067766,0.436849,0.12294368
1.96,0.3005842408333333,0.36926162,0.79213357,0.12750874,0.13060607,0.17085735,0.21760117,0.28096887,0.37021989,0.42051458,0.15250714,0.1253811,0.44945079,0.234654275,0.12893096,0.14253248,0.16613764,0.21749723,0.2714141,0.39078915,0.43695137,0.12298127
1.961,0.3007592216666667,0.36923581,0.79294372,0.12783335,0.13051437,0.1709217,0.2175945,0.28106669,0.37053034,0.42061946,0.15251859,0.12527722,0.45005491,0.23472523875,0.12896572,0.14255284,0.16620679,0.21758625,0.27153078,0.39090154,0.43703964,0.12301835
1.962,0.3009436008333333,0.3692351,0.79370886,0.12815198,0.13041379,0.1710411,0.21759155,0.28119838,0.37086302,0.42077917,0.15252537,0.12519102,0.45062387,0.23479422875,0.12899926,0.14257425,0.16627647,0.21767536,0.27164465,0.39101517,0.437114,0.12305467
